code,name,level,parent_code,latitude,longitude
11,Aceh,province,ID,3.756284,96.709480
12,Sumatera Utara,province,ID,1.593700,98.720311
13,Sumatera Barat,province,ID,-1.182975,100.212868
14,Riau,province,ID,0.670828,101.984772
15,Jambi,province,ID,-1.700231,102.746033
16,Sumatera Selatan,province,ID,-3.245768,104.077561
17,Bengkulu,province,ID,-3.828949,102.560235
18,Lampung,province,ID,-5.036845,104.931691
19,Kepulauan Bangka Belitung,province,ID,-2.540355,106.705002
21,Kepulauan Riau,province,ID,1.364907,105.200598
31,DKI Jakarta,province,ID,-6.210466,106.828756
32,Jawa Barat,province,ID,-6.831098,107.603493
33,Jawa Tengah,province,ID,-7.253529,110.248823
34,Daerah Istimewa Yogyakarta,province,ID,-7.873857,110.454165
35,Jawa Timur,province,ID,-7.522750,113.236457
36,Banten,province,ID,-6.505923,105.937626
51,Bali,province,ID,-8.452142,115.145783
52,Nusa Tenggara Barat,province,ID,-8.596594,117.669099
53,Nusa Tenggara Timur,province,ID,-9.138002,122.344255
61,Kalimantan Barat,province,ID,-0.269803,110.827361
62,Kalimantan Tengah,province,ID,-1.364992,113.443484
63,Kalimantan Selatan,province,ID,-2.932522,115.712411
64,Kalimantan Timur,province,ID,0.332932,116.714793
65,Kalimantan Utara,province,ID,3.106835,116.674658
71,Sulawesi Utara,province,ID,2.062966,125.076551
72,Sulawesi Tengah,province,ID,-0.978142,121.639930
73,Sulawesi Selatan,province,ID,-4.301654,120.352507
74,Sulawesi Tenggara,province,ID,-4.546629,122.459241
75,Gorontalo,province,ID,0.685247,122.398917
76,Sulawesi Barat,province,ID,-2.314529,119.373307
81,Maluku,province,ID,-5.708521,130.904360
82,Maluku Utara,province,ID,-0.151399,127.420297
91,Papua,province,ID,-2.429734,137.715448
92,Papua Barat,province,ID,-2.734557,133.715343
93,Papua Selatan,province,ID,-6.747606,139.010525
94,Papua Tengah,province,ID,-3.737229,136.503877
95,Papua Pegunungan,province,ID,-4.011208,139.246009
96,Papua Barat Daya,province,ID,-0.982440,131.165245
11.01,Kabupaten Aceh Selatan,regency,11,3.132772,97.485514
11.02,Kabupaten Aceh Tenggara,regency,11,3.345442,97.683324
11.03,Kabupaten Aceh Timur,regency,11,4.622174,97.600336
11.04,Kabupaten Aceh Tengah,regency,11,4.545687,96.851086
11.05,Kabupaten Aceh Barat,regency,11,4.476449,96.199839
11.06,Kabupaten Aceh Besar,regency,11,5.393661,95.476749
11.07,Kabupaten Pidie,regency,11,5.054621,96.052786
11.08,Kabupaten Aceh Utara,regency,11,4.997815,97.167131
11.09,Kabupaten Simeulue,regency,11,2.550557,96.166991
11.10,Kabupaten Aceh Singkil,regency,11,2.259852,97.604334
11.11,Kabupaten Bireuen,regency,11,5.079354,96.596343
11.12,Kabupaten Aceh Barat Daya,regency,11,3.827915,96.849608
11.13,Kabupaten Gayo Lues,regency,11,4.042246,97.321773
11.14,Kabupaten Aceh Jaya,regency,11,4.878086,95.659705
11.15,Kabupaten Nagan Raya,regency,11,4.182661,96.521419
11.16,Kabupaten Aceh Tamiang,regency,11,4.203754,98.002701
11.17,Kabupaten Bener Meriah,regency,11,4.777399,96.981527
11.18,Kabupaten Pidie Jaya,regency,11,5.096349,96.208432
11.71,Kota Banda Aceh,city,11,5.568036,95.329104
11.72,Kota Sabang,city,11,5.819733,95.314071
11.73,Kota Lhokseumawe,city,11,5.173356,97.107873
11.74,Kota Langsa,city,11,4.489304,97.995433
11.75,Kota Subulussalam,city,11,2.772186,97.941708
12.01,Kabupaten Tapanuli Tengah,regency,12,1.806006,98.647612
12.02,Kabupaten Tapanuli Utara,regency,12,2.042326,99.087858
12.03,Kabupaten Tapanuli Selatan,regency,12,1.508033,99.266319
12.04,Kabupaten Nias,regency,12,1.077576,97.703493
12.05,Kabupaten Langkat,regency,12,3.751681,98.234131
12.06,Kabupaten Karo,regency,12,3.100551,98.308870
12.07,Kabupaten Deli Serdang,regency,12,3.511671,98.665249
12.08,Kabupaten Simalungun,regency,12,3.047431,99.115332
12.09,Kabupaten Asahan,regency,12,2.812915,99.477770
12.10,Kabupaten Labuhanbatu,regency,12,2.201335,100.001334
12.11,Kabupaten Dairi,regency,12,2.861719,98.268297
12.12,Kabupaten Toba,regency,12,2.408079,99.200549
12.13,Kabupaten Mandailing Natal,regency,12,0.770789,99.390801
12.14,Kabupaten Nias Selatan,regency,12,0.163986,98.246417
12.15,Kabupaten Pakpak Bharat,regency,12,2.518436,98.250090
12.16,Kabupaten Humbang Hasundutan,regency,12,2.267654,98.588027
12.17,Kabupaten Samosir,regency,12,2.521813,98.723277
12.18,Kabupaten Serdang Bedagai,regency,12,3.314751,99.019346
