tanggal,penyakit_tag,detected_diseases,event_types,severity_nlp,skor_ancaman,lokasi_mentah,level_lokasi,confidence_lokasi,geocode_status,judul,sumber,link,final_url,summary,lat,lon
"Thu, 05 Mar 2026 10:04:00 GMT",DBD,DBD,,10,20,Jawa Timur,province,0.75,OK,Wali Kota Probolinggo Ajak Warga Bergerak Cegah DBD Sejak Dini - InfoPublik,InfoPublik,https://news.google.com/rss/articles/CBMirwFBVV95cUxNcXRjc2V2YnFWUjFNRm13Z29MSmE3VUpPZWtfeUZzbjFZVFBuOGZDNU5qa3REdTRmTG4wRE5vMVpkNjlJTGV1b1NBQlp1RGZsdnBoeV9GSGFNVTN3Z1JjU1JqTFphVnVXOUc2bmdiWVFfS3VWQ2FIMTgzM1pmdXN6VS0yV3FaamR6U2IyYW1lY0llbklhZFR0MERSTEYwcTBwb3JoOWxGeTZEY0dtdU1V?oc=5,https://news.google.com/rss/articles/CBMirwFBVV95cUxNcXRjc2V2YnFWUjFNRm13Z29MSmE3VUpPZWtfeUZzbjFZVFBuOGZDNU5qa3REdTRmTG4wRE5vMVpkNjlJTGV1b1NBQlp1RGZsdnBoeV9GSGFNVTN3Z1JjU1JqTFphVnVXOUc2bmdiWVFfS3VWQ2FIMTgzM1pmdXN6VS0yV3FaamR6U2IyYW1lY0llbklhZFR0MERSTEYwcTBwb3JoOWxGeTZEY0dtdU1V?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Wali Kota Probolinggo Ajak Warga Bergerak Cegah DBD Sejak Dini InfoPublik,-7.6977397,112.4914199
"Wed, 04 Mar 2026 20:27:43 GMT",DBD,DBD,,10,20,Jawa Timur,province,0.75,OK,Kota Probolinggo Gerak Bersama Cegah DBD dengan Pemberantasan Sarang Nyamuk 3M dan Lavenderisasi - Portal Probolinggo Kota,Portal Probolinggo Kota,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOUDRlaHgxQUtKTUhhRzRFYmwxUmxxMjNiSkEtMlBjSDdkc0ZjRHJqVzRORkp0cE9OcGtWRmlmVXJrYVlsM2pQS0FYczhXNEcxQTIzN2d1X2tUUkZQc0IzM3hsTE01eWZoQUJxT1lKZktfT0pjdS0xWjhFR0JtNUtsZGF1WS1CaGljdExRQ0FaclBKa3VWV1BpdklaVnltTmlNOG41WFItSjVlZzJLSkFUUGhvUW5DWTNqdm9ocDhCd1lYOTlvY3VGSW1IX0VUeng2?oc=5,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOUDRlaHgxQUtKTUhhRzRFYmwxUmxxMjNiSkEtMlBjSDdkc0ZjRHJqVzRORkp0cE9OcGtWRmlmVXJrYVlsM2pQS0FYczhXNEcxQTIzN2d1X2tUUkZQc0IzM3hsTE01eWZoQUJxT1lKZktfT0pjdS0xWjhFR0JtNUtsZGF1WS1CaGljdExRQ0FaclBKa3VWV1BpdklaVnltTmlNOG41WFItSjVlZzJLSkFUUGhvUW5DWTNqdm9ocDhCd1lYOTlvY3VGSW1IX0VUeng2?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Kota Probolinggo Gerak Bersama Cegah DBD dengan Pemberantasan Sarang Nyamuk 3M dan Lavenderisasi Portal Probolinggo Kota,-7.6977397,112.4914199
"Sat, 28 Feb 2026 02:53:20 GMT",DBD,DBD,,10,20,Sulawesi Tengah,province,0.75,OK,DBD di Poso: Alarm Kesehatan yang Tak Boleh Terus Diabaikan - Sulteng Raya,Sulteng Raya,https://news.google.com/rss/articles/CBMimwFBVV95cUxOQ3huVXAwMFo1WlNTUk1fMHZRSElWZ3JvaTdYZEwxVEpRX0pxUVFBLWxaQ2RlR2M2WFBoajlKOEFMRmI3ZGhHMVdFUGdxb2JKbmxMSXozSUl2dml0RzJPS0pqcFEzSEpZVmEzNGt4VzVlamNXNnAtZ3lYQkhyMGFhUFdnd0lvSXdURFBnNjNCb2lPb3NyZ3ZkZG9VUQ?oc=5,https://news.google.com/rss/articles/CBMimwFBVV95cUxOQ3huVXAwMFo1WlNTUk1fMHZRSElWZ3JvaTdYZEwxVEpRX0pxUVFBLWxaQ2RlR2M2WFBoajlKOEFMRmI3ZGhHMVdFUGdxb2JKbmxMSXozSUl2dml0RzJPS0pqcFEzSEpZVmEzNGt4VzVlamNXNnAtZ3lYQkhyMGFhUFdnd0lvSXdURFBnNjNCb2lPb3NyZ3ZkZG9VUQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,DBD di Poso: Alarm Kesehatan yang Tak Boleh Terus Diabaikan Sulteng Raya,-1.6937786,120.8088555
"Thu, 05 Mar 2026 12:59:11 GMT",DBD,DBD,,10,20,Jawa Timur,province,0.75,OK,"Lavender, si cantik yang Jadi Inovasi Kota Probolinggo Cegah DBD - jatimnet.com",jatimnet.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxNcXVoVnhxNXhyWUJhaTBaaDlVb003QTd4WkFNbWQzMTYzcWJXWC1yZF8tUFNGUmhCMFpYRW15bGxaUTQzcUZHR3RJVW45THp0dW95cmlTMDYxd1BKOTl1ZURQQ2xoSFdkOFl4MXZ1TTVIRGNYUlFhOS1pWV9WYnhobmVlX29OUVBSdmNMeQ?oc=5,https://news.google.com/rss/articles/CBMijAFBVV95cUxNcXVoVnhxNXhyWUJhaTBaaDlVb003QTd4WkFNbWQzMTYzcWJXWC1yZF8tUFNGUmhCMFpYRW15bGxaUTQzcUZHR3RJVW45THp0dW95cmlTMDYxd1BKOTl1ZURQQ2xoSFdkOFl4MXZ1TTVIRGNYUlFhOS1pWV9WYnhobmVlX29OUVBSdmNMeQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Lavender, si cantik yang Jadi Inovasi Kota Probolinggo Cegah DBD jatimnet.com",-7.6977397,112.4914199
"Mon, 02 Mar 2026 08:10:14 GMT",DBD,DBD,,10,20,Banten,province,0.75,OK,"Cegah DBD, Dinkes Lebak imbau warga jaga kebersihan lingkungan - ANTARA News Banten",ANTARA News Banten,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNZXBMLVp6RXk1b2F2OHM2bUdEc0s5Tl93a1dBMmxPOGUxWWhMbGV0WWVBa19YaDFYaDZEOXVnaF9wLWRxSG5EbUtNeEw1Y1dKSVBLZDRNcjU5QlZZUXlmVlhvVVE0VVhNbFJTQVhqdzlvU3pHckh2Qkh6dS1ON2RIdDRvcXBKTjVTOFJ1QkMwdnZrQmhNTmd3TGZicS0tTDYzU2RoaUQ0aWLSAa4BQVVfeXFMTTVZRGp4dWN2RVdpLUY2R3ZsT05YNGpFZzBmZWk0UTk0d1ZURUZ1ZkdYRWoyUDBicVUtWTdFanI5QUZyanBlTUY4NXU4UXlFUlVmR1hsa185RWlLQXAxTVJWMnVUdGx0TW41OUx1Q0RHOWtFNC1wdzdIcDFaNF9qaFhQelpCbmR2TUR0NVU2UE9DX3FXZlhiT21waVktaE5QeFV5U0xPWVBxWjVPMndR?oc=5,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNZXBMLVp6RXk1b2F2OHM2bUdEc0s5Tl93a1dBMmxPOGUxWWhMbGV0WWVBa19YaDFYaDZEOXVnaF9wLWRxSG5EbUtNeEw1Y1dKSVBLZDRNcjU5QlZZUXlmVlhvVVE0VVhNbFJTQVhqdzlvU3pHckh2Qkh6dS1ON2RIdDRvcXBKTjVTOFJ1QkMwdnZrQmhNTmd3TGZicS0tTDYzU2RoaUQ0aWLSAa4BQVVfeXFMTTVZRGp4dWN2RVdpLUY2R3ZsT05YNGpFZzBmZWk0UTk0d1ZURUZ1ZkdYRWoyUDBicVUtWTdFanI5QUZyanBlTUY4NXU4UXlFUlVmR1hsa185RWlLQXAxTVJWMnVUdGx0TW41OUx1Q0RHOWtFNC1wdzdIcDFaNF9qaFhQelpCbmR2TUR0NVU2UE9DX3FXZlhiT21waVktaE5QeFV5U0xPWVBxWjVPMndR?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Cegah DBD, Dinkes Lebak imbau warga jaga kebersihan lingkungan ANTARA News Banten",-6.4453801,106.1375586
"Tue, 03 Mar 2026 12:57:25 GMT",DBD,DBD,case_report,25,25,Jawa Timur,province,0.75,OK,Dinkes Kota Blitar Catatkan Nol Kasus DBD di Awal Tahun 2026 - Serayu Nusantara,Serayu Nusantara,https://news.google.com/rss/articles/CBMikwFBVV95cUxPOERwUW96WEZqTWM1a2xmWjhFa1VmNzNqLUtTM2ZkRkYwdkl0OUZHaFhpUzBueF8wcXFkVTlGTEpsczhIR3kzU2RQVF9jOVVJY0pVaU9UYWRaNDFPWGkzdHZiZmROYnQwS1NoYWJJMnMzVHNCNkFaYmU5UnVadlpXUGMway1uYm96dDhZbFJqWHo1NEE?oc=5,https://news.google.com/rss/articles/CBMikwFBVV95cUxPOERwUW96WEZqTWM1a2xmWjhFa1VmNzNqLUtTM2ZkRkYwdkl0OUZHaFhpUzBueF8wcXFkVTlGTEpsczhIR3kzU2RQVF9jOVVJY0pVaU9UYWRaNDFPWGkzdHZiZmROYnQwS1NoYWJJMnMzVHNCNkFaYmU5UnVadlpXUGMway1uYm96dDhZbFJqWHo1NEE?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Dinkes Kota Blitar Catatkan Nol Kasus DBD di Awal Tahun 2026 Serayu Nusantara,-7.6977397,112.4914199
"Thu, 05 Mar 2026 10:06:00 GMT",DBD,DBD,,10,20,Jawa Timur,province,0.75,OK,"Lawan DBD, Probolinggo Andalkan Lavender: dari Usir Nyamuk hingga Jadi Spot Wisata - TIMES Probolinggo",TIMES Probolinggo,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOcFdpdkxSNWo3Q29zc1JEZGcwRElDSnRmTzZoSy15bzItcUtXVHc4cmZIUDhWSkdOZU1nTjdhQnRtQ1J6VlFhZTBGNkVxZVVVOFktWllYYVQ1THE2R3RCSXNIY1BYakJhbzFmczR3aFJpWXdvNjZ1M0J0akw2NWRua2lURHlmUmVMV0lHSUxpdmNMY1U5ZU91NVE0Y09LeF9OcmpxTms3VmRZekstRWE1S2FUN0htWllNRWloRVI2N3NzUWRLR3Q4azNyZnFuU2RWZzdJ?oc=5,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOcFdpdkxSNWo3Q29zc1JEZGcwRElDSnRmTzZoSy15bzItcUtXVHc4cmZIUDhWSkdOZU1nTjdhQnRtQ1J6VlFhZTBGNkVxZVVVOFktWllYYVQ1THE2R3RCSXNIY1BYakJhbzFmczR3aFJpWXdvNjZ1M0J0akw2NWRua2lURHlmUmVMV0lHSUxpdmNMY1U5ZU91NVE0Y09LeF9OcmpxTms3VmRZekstRWE1S2FUN0htWllNRWloRVI2N3NzUWRLR3Q4azNyZnFuU2RWZzdJ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Lawan DBD, Probolinggo Andalkan Lavender: dari Usir Nyamuk hingga Jadi Spot Wisata TIMES Probolinggo",-7.6977397,112.4914199
"Thu, 05 Mar 2026 17:46:11 GMT",DBD,DBD,alert|case_report,40,45,Riau,province,0.75,OK,"32 Kasus DBD Selama 2025, Diskes Pekanbaru Minta Masyarakat Waspada - AmiraRiau",AmiraRiau,https://news.google.com/rss/articles/CBMirgFBVV95cUxOMXBQZlhNbUpQcXVnaFNsc3dhc0tKN1dxNkZnR2hDNjc3VmF0OFlhWG4xSVhiaGxINWNkeVIwb3JEOTZ6ZEZ0VDFSSkhZbHBkU3lkNlZacmZuRUNfZDJSa2VVYVVqdmd0aWFKekp0Z28ybElEaHpTS1pMU2lnRzcySFZMUU5zWWZLTy1HaExiY2NIYVRtcHpzdkRRZVFnMGFrLWtIQlRxNVBSMzZOSWc?oc=5,https://news.google.com/rss/articles/CBMirgFBVV95cUxOMXBQZlhNbUpQcXVnaFNsc3dhc0tKN1dxNkZnR2hDNjc3VmF0OFlhWG4xSVhiaGxINWNkeVIwb3JEOTZ6ZEZ0VDFSSkhZbHBkU3lkNlZacmZuRUNfZDJSa2VVYVVqdmd0aWFKekp0Z28ybElEaHpTS1pMU2lnRzcySFZMUU5zWWZLTy1HaExiY2NIYVRtcHpzdkRRZVFnMGFrLWtIQlRxNVBSMzZOSWc?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"32 Kasus DBD Selama 2025, Diskes Pekanbaru Minta Masyarakat Waspada AmiraRiau",1.0498079,101.6548433
"Mon, 02 Mar 2026 07:29:15 GMT",DBD,DBD,case_report,25,25,Kalimantan Timur,province,0.75,OK,Kasus DBD Renggut Nyawa Bocah 7 Tahun di Bontang - Bontang Post,Bontang Post,https://news.google.com/rss/articles/CBMifEFVX3lxTE5scEZZZUNib2tBNC1IdWNYVDhyN2dpRGhacmQ1UHl5ckdfdVphSlRReHRMb18zTXZDYzlzUXlBaTk5Z3F2RVFjVHpKRzV1ejRSV0pSQy12VVItZlVOQ0pibS1iVllOUHd5U2ZkZDBVeUlVaFJpZDlUWWtCczQ?oc=5,https://news.google.com/rss/articles/CBMifEFVX3lxTE5scEZZZUNib2tBNC1IdWNYVDhyN2dpRGhacmQ1UHl5ckdfdVphSlRReHRMb18zTXZDYzlzUXlBaTk5Z3F2RVFjVHpKRzV1ejRSV0pSQy12VVItZlVOQ0pibS1iVllOUHd5U2ZkZDBVeUlVaFJpZDlUWWtCczQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,Kasus DBD Renggut Nyawa Bocah 7 Tahun di Bontang Bontang Post,0.7884397,116.2419977
"Mon, 02 Mar 2026 08:00:00 GMT",DBD,DBD,case_report,25,25,Jawa Barat,province,0.75,OK,"Awal 2026, DBD Sukabumi Capai 54 Kasus - rmoljabar.id",rmoljabar.id,https://news.google.com/rss/articles/CBMib0FVX3lxTFB3U3lmbE56V1d0UTBnaTg3Ry03Vm8xdy1DRmZna2pORUxXdFBYVmplSWE4bVFUSFlaVzRMMk5zOFZZb2ZRTjNkVm5fNzJWckxfT0dKR2s4eEtQTE9XRUxLdmdtQUxjZ1pWUUxvRFotdw?oc=5,https://news.google.com/rss/articles/CBMib0FVX3lxTFB3U3lmbE56V1d0UTBnaTg3Ry03Vm8xdy1DRmZna2pORUxXdFBYVmplSWE4bVFUSFlaVzRMMk5zOFZZb2ZRTjNkVm5fNzJWckxfT0dKR2s4eEtQTE9XRUxLdmdtQUxjZ1pWUUxvRFotdw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,"Awal 2026, DBD Sukabumi Capai 54 Kasus rmoljabar.id",-6.8891904,107.6404716
